ƒ,Entrada,Subentrada,Tipo,Acepción,Marcas,Definiciones,Clase gramatical,Primera división,Nodo básico,Nodo LexiMus,Nodo intermedio,Último nodo,,Última referencia atestiguada/Primera referencia lexicográfica académica,
193,bemol,bemol,m.,2,Mús.,Signo (♭) que indica que la nota a que se refiere es un bemol.,Sustantivo,Música,Producto,Símbolos,Dimensión espacial,alturas,,,
,bemol,doble bemol,loc. sust. m.,2,Mús.,Signo (♭♭) que indica que la nota a que se refiere es un doble bemol.,Sustantivo,Música,Producto,Símbolos,Dimensión espacial,alturas,,,
194,"bemolado, da","bemolado, da",adj.,1,,Con bemoles.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades notas y alteraciones,,"1985, México [Aguilera, Carmen: El arte oficial tenochca. Su significación social]",
,berceuse,berceuse,f.,1,Mús.,Composición musical al estilo de las canciones de cuna.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
,berrar,berrar,intr.,1,,berrear (‖ gritar o cantar desafinando).,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos) (connotaciones diastráticas o diafásicas),,"1986, España [Lázaro, Maribel: Humo de beleño]",
,berrear,berrear,intr.,3,,Dicho de una persona: Gritar o cantar desafinando.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos) (connotaciones diastráticas o diafásicas),,,
195,berrido,berrido,m.,3,,Nota alta y desafinada al cantar.,Sustantivo,Música,Producto,Conceptos,Dimensión espaciotemporal,tipos melódicos (connotaciones diastráticas o diafásicas),,,
196,birimbao,birimbao,m.,1,,"Instrumento musical pequeño consistente en una barrita de hierro en forma de herradura, atravesada por una lengüeta de acero que se hace vibrar con el índice de una mano, teniendo con la otra el instrumento entre los dientes.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
,bis,bis,interj. U,6,,"para pedir un bis o repetición en un concierto o en otro espectáculo musical o teatral.
para pedir un bis o repetición en un concierto o en otro espectáculo musical o teatral.
para pedir un bis o repetición en un concierto o en otro espectáculo musical o teatral.
",Interjección,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
,bis,bis,m.,2,,Ejecución de un bis. La soprano hizo un bis.,Sustantivo,Música,Actividad,Conceptos,[resultados],resultados,,,
,bis,bis,adv. U,5,,en las partituras o en otro tipo de impresos o escritos para indicar que algo debe repetirse o está repetido.,Adverbio,Música,Modificadores,Conceptos,∅,cualidades formas,,,
,bis,bis,m.,1,,"En un concierto o en un espectáculo teatral, pieza o fragmento, a veces repetición de algo interpretado antes, que se ofrece fuera de programa para responder a los aplausos o a la petición del público.",Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
197,bisar,bisar,tr.,1,,Hacer un bis repitiendo una pieza o un fragmento en un concierto o en un espectáculo teatral.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
198,bitonal,bitonal,adj.,1,Mús.,Que presenta bitonalidad.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades estilos,,,
199,bitonalidad,bitonalidad,f.,1,Mús.,Presencia simultánea de dos tonalidades en una composición.,Sustantivo,Música,Producto,Conceptos,∅,estilos,,,
200,"blanco, ca","blanco, ca",f.,24,Mús.,Nota que tiene la mitad de duración que la redonda.,Sustantivo,Música,Producto,Sonido,Dimensión temporal,figuras rítmicas,,,
201,"blando, da","blando, da",adj.,4,Mús.,Dicho de una nota: bemolada.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades notas y alteraciones,,"1940-1956, España [Arias-Paz, Manuel: Manual de automóviles]",
202,blues,blues,m.,1,,"Forma musical popular surgida entre la población afroamericana del sur de los Estados Unidos de América, que se caracteriza por su ritmo lento y su tono melancólico.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,bocina,bocina,f.,3,,cuerno (‖ instrumento musical).,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
,bocina,bocina,f.,8,,altavoz (‖ aparato que transforma la corriente eléctrica en sonido).,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
,bocinero,bocinero,m.,1,,Hombre que toca la bocina.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
,bodoque,bodoque,m.,9,coloq. Hond.,Pelota de hule que se pone en la punta de un palillo para tocar la marimba.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos (connotaciones diastráticas o diafásicas),,,
205,bolerista,bolerista,m. y f.,2,,Compositor de boleros.,Sustantivo,Música,Actividad,Participantes,[agentes] productores,creadores,,,
204,bolerista,bolerista,m. y f.,1,,Persona que canta boleros.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],participantes marcados funcionalmente,,,
,"bolero, ra","bolero, ra",m. y f.,2,desus.,Persona que ejerce o profesa el arte de bailar el bolero o cualquier baile regional de España.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],intérpretes,,,
206,"bolero, ra","bolero, ra",m.,4,,"Aire musical popular español, cantable y bailable en compás ternario y de movimiento majestuoso.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
207,"bolero, ra","bolero, ra",m.,5,,"Canción de ritmo lento, bailable, originaria de Cuba, muy popular en el Caribe, de compás de dos por cuatro y letras melancólicas.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,"bolero, ra","bolero, ra",f. pl.,11,,(‖ aire musical).,Sustantivo,Música,Producto,Conceptos,Continentes,unidades banalizadas,,,
,"bolero, ra","bolero, ra",m.,6,,Baile popular caribeño que se ejecuta al compás del bolero.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,
,bolillo,bolillo,m.,7,Cuba y El Salv.,palillo (‖ baqueta con que se toca el tambor).,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,membranófonos/idiófonos,,,
,bolo,bolo,m.,5,,Cada una de las funciones ofrecidas fuera de temporada en distintas poblaciones por una compañía teatral o por un artista. U. m. en pl. La compañía va a hacer unos bolos por el norte.,Sustantivo,Música,Actividad,Conceptos,[resultados],resultados,,,
208,bomba,bomba,f.,11,Mús.,"En los instrumentos musicales de metal, tubo encorvado que, sacándolo más o menos, sirve para la buena afinación o para bajar su entonación.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
209,bombarda,bombarda,f.,5,,"Antiguo instrumento musical de viento, del género de la chirimía, construido de una pieza de madera con lengüeta de caña.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
210,bombarda,bombarda,f.,6,,"Registro del órgano, compuesto de grandes tubos con lengüeta que producen sonidos muy fuertes y graves.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
211,bombardino,bombardino,m.,1,,"Instrumento musical de viento, de metal, semejante al figle, pero con pistones o cilindros en vez de llaves, y que pertenece a la clase de bajos.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
212,bombardón,bombardón,m.,1,,"Instrumento musical de viento, de grandes dimensiones, de metal y con cilindros, que sirve de contrabajo en las bandas militares.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
214,"bombo, ba","bombo, ba",m.,5,,Persona que toca el bombo.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
213,"bombo, ba","bombo, ba",m.,4,,Tambor muy grande que se toca con una maza y se emplea en las orquestas y en las bandas militares.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,membranófonos,,,
215,bongó,bongó,m.,1,,"Instrumento musical de percusión, procedente del Caribe, que consiste en un tubo de madera cubierto en su extremo superior por un cuero bien tenso y descubierto en la parte inferior.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,membranófonos,,,
216,"bongosero, ra","bongosero, ra",m. y f.,1,Cuba y R. Dom.,Persona que toca el bongó en un conjunto.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
217,boquilla,boquilla,f.,1,,"Pieza pequeña y hueca, y en general cónica, de metal, marfil o madera, que se adapta al tubo de algunos instrumentos de viento y sirve para producir el sonido, apoyando los labios en los bordes de ella.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
218,bordón,bordón,m.,3,,"En los instrumentos musicales de cuerda, cualquiera de las más gruesas que hacen el bajo.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
219,bordón,bordón,m.,4,,Cuerda de tripa atravesada diametralmente en el parche inferior del tambor.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,membranófonos,,,
220,bordona,bordona,f.,1,Arg. y Ur.,"Cada una de las tres cuerdas más bajas de la guitarra, preferentemente la sexta.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
221,bordonear,bordonear,intr.,3,,Pulsar el bordón de la guitarra.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical,,"2002, Bolivia [Martínez Salguero, Jaime: El combate místico]",
222,bordoneo,bordoneo,m.,1,,Sonido ronco del bordón de la guitarra.,Sustantivo,Música,Producto,Sonido,Dimensión espacial,fenómenos acústicos,,,
,bornear,bornear,intr.,5,Sal.,Hacer pasos en el baile de la jota o la charrada.,Verbo,Baile/Danza,Actividad,Conceptos,[evento],¿verbos de baile y danza? (Diana),,,
,borneo1,borneo1,m.,2,,Balance o movimiento del cuerpo en el baile.,Sustantivo,Baile/Danza,Actividad,Conceptos,movimientos y posiciones,¿sugerencias de Diana?,,,
,bossa,bossa,f.,1,,bossa nova.,Sustantivo,Música,Producto,Conceptos,∅,estilos,,,
,bossa ,bossa nova,f.,1,,"Música popular brasileña muy influida por el jazz. En Bol., Chile y Nic., u. t. c. m.
 Música popular brasileña muy influida por el jazz. En Bol., Chile y Nic., u. t. c. m.
Música popular brasileña muy influida por el jazz. En Bol., Chile y Nic., u. t. c. m.",Sustantivo,Música,Producto,Conceptos,∅,estilos,,,
,botasilla,botasilla,f.,1,Mil.,"En los cuerpos de caballería, toque de clarín para ordenar alos soldados que ensillen los caballos.",Sustantivo,Música,Producto/actividad,Conceptos,Continentes/[resultados],unidades/resultados,,,
223,"botón, na","botón, na",m.,11,Mús.,"En los instrumentos musicales de pistones, pieza circular y metálica que recibe la presión del dedo para funcionar.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
224,"botón, na","botón, na",m.,12,Mús.,"En los instrumentos de arco, pieza en forma de botón para sujetar a ella el trascoda.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
,bran,bran,m.,,,bran de Inglaterra,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,bran,bran de Inglaterra,m.,1,,Baile usado antiguamente en España.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,break dance,break dance,m.,1,,Baile de origen estadounidense caracterizado por movimientos ygiros rápidos que a veces se ejecutan apoyando en el suelo la cabezao la espalda.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,
,break2,break2,m.,2,,break dance.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,
225,breve,breve,f.,6,Mús.,Nota antigua equivalente en duración al doble de la redonda o semibreve.,Sustantivo,Música,Producto,Sonido,Dimensión temporal,figuras rítmicas,,,
226,bronce,bronce,m.,4,poét.,"Cañón de artillería, campana, clarín o trompeta.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos (connotaciones diastráticas o diafásicas),,,
,bronco,bronco,adj.,1,,Dicho de la voz o de un instrumento de música: De sonido desagradable y áspero.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades timbre,,,
227,"bufo, fa","bufo, fa",m. y f.,3,,"En la ópera italiana, actor que representa el papel de gracioso.",Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],participantes marcados funcionalmente,,,
228,bugle,bugle,m.,1,,"Instrumento musical de viento, formado por un largo tubo cónico de metal, arrollado de distintas maneras y provisto de pistones en número variable.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
229,buguibugui,buguibugui,m.,1,,"Música basada en el blues, originalmente pianística, que repite con insistencia las frases y las notas.",Sustantivo,Música,Producto,Conceptos,∅,estilos,,,
,buguibugui,buguibugui,m.,2,,Baile de moda durante la primera mitad del siglo XX que se ejecuta al compás del buguibugui.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,
230,bulería,bulería,f.,1,,Palo flamenco de ritmo vivo que se acompaña con palmas. U. m. en pl. con el mismo significado que en sing.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,bulería,bulería,f.,2,,Baile que se ejecuta al compás de las bulerías,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,
,cabalgata,cabalgata,f.,1,,"Desfile de jinetes, carrozas, bandas de música, danzantes, etc., que se organiza como festejo popular.",Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
,caballero,caballero,m.,12,,Baile antiguo español.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,cabaré,cabaré,m.,1,,Local nocturno donde se bebe y se baila y en el que se ofrecen espectáculos de variedades.,Sustantivo,Música,Actividad,Objetos,[localizaciones],espacios,,,
,cabaret,cabaret,m.,1,,cabaré,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
,"cabaretero, ra","cabaretero, ra",m. y f.,2,,Artista de cabaré.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],participantes marcados funcionalmente,,,
,"cabaretero, ra","cabaretero, ra",adj.,1,,Perteneciente o relativo al cabaré.,Adjetivo,Música/Baile/Danza,Modificadores,Conceptos,∅,cualidades polivalentes,,,
,cabeza,cabeza,f.,7,,Parte superior de la armazón de madera y barrotes de hierro en que está sujeta la campana.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos,,,
,cabeza,voz de cabeza,f.,1,,falsete (‖ voz más aguda que la natural).,Sustantivo,Música,Producto,Técnica y Expresión,Otras dimensiones,timbre,,,
,cabezal,cabezal,m.,9,Ar.,melena (‖ yugo de la campana).,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos,,,
,cabriola,cabriola,f.,1,,"Brinco que dan quienes danzan, cruzando varias veces los pies en el aire.",Sustantivo,Baile/Danza,Actividad,Conceptos,movimientos y posiciones,¿sugerencias de Diana?,,,
,cacharpari,cacharpari,m.,1,Perú.,Convite o baile que por despedida se ofrece a quien va aemprender un viaje.,Sustantivo,Baile/Danza,Actividad,Conceptos,movimientos y posiciones,¿sugerencias de Diana?,,,
231,cachimbo,cachimbo,m.,4,Perú.,Músico de banda militar o pueblerina.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],intérpretes,,,
,cachiporra,cachiporra,f.,2,Ec.,Bastón adornado con cintas que porta el tambor mayor.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,membranófonos/idiófonos,,,
232,"cachiporrero, ra","cachiporrero, ra",f.,2,El Salv.,Mujer que con una cachiporra en la mano dirige una banda de música que marcha.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],intérpretes,,,
,cachua,cachua,f.,1,,"Baile de los indígenas del Perú, el Ecuador y Bolivia, suelto y zapateado, que tiene tres figuras.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,
233,cachucha,cachucha,f.,4,,Canción y tañido de la cachucha.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,cachucha,cachucha,f.,3,,"Baile popular de Andalucía, en compás ternario y con castañuelas.
Baile popular de Andalucía, en compás ternario y con castañuelas.
Baile popular de Andalucía, en compás ternario y con castañuelas.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,cachullapi,cachullapi,m.,1,,"Baile serrano popular del Ecuador, muy animado y alegre.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,cadena,cadena,f.,12,,cadena de música,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
,cadencia,cadencia,f.,7,Danza,Conformidad de los pasos de quien danza con la medida indicada por el instrumento.,Sustantivo,Baile/Danza,Modificadores,Conceptos,∅,cualidades unidades,,,
,cadencia,cadencia,f. ,6,Danza,"Medida del sonido, que regla el movimiento de la persona que danza.
Medida del sonido, que regla el movimiento de la persona que danza.
Medida del sonido, que regla el movimiento de la persona que danza.
Medida del sonido, que regla el movimiento de la persona que danza.
",Sustantivo,Baile/Danza,Modificadores,Conceptos,∅,cualidades unidades,,,
234,cadencia,cadencia,f.,10,Mús.,"Ritmo, sucesión o repetición de sonidos diversos que caracterizan una pieza musical.",Sustantivo,Música,Modificadores,Conceptos,∅,cualidades unidades,,,
235,cadencia,cadencia,f.,11,Mús.,Resolución de un acorde disonante sobre un acorde consonante.,Sustantivo,Música,Producto,Conceptos,∅,dimensión espaciotemporal,,,
236,cadencia,cadencia,f.,9,Mús.,"Manera de terminar una frase musical, reposo marcado de la voz o del instrumento.",Sustantivo,Música,Producto,Conceptos,Continentes,segmentos,,,
,caja,caja,f.,6,,tambor (‖ instrumento musical).,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,membranófonos,,,
237,caja,caja,f.,7,,"Entre algunas poblaciones aborígenes americanas, tambor pequeño.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,membranófonos,,,
238,caja,caja,f.,8,,"Parte exterior de madera que cubre y resguarda algunos instrumentos musicales, como el órgano, el piano, etc., o que forma parte principal del instrumento, como en el violín, la guitarra, etc.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,membranófonos,,,
,caja,caja de resonancia,f.,1,,Caja de madera que forma parte de algunos instrumentos musicales para amplificar y modular su sonido.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,otros dispositivos,,,
,caja,caja de resonancia,f.,2,,Recinto que cumple una función análoga a la de la caja de resonancia de un instrumento musical.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,otros dispositivos,,,
239,"cajero, ra","cajero, ra",m. y f.,3,Arg.,Persona que toca la caja (‖ tambor).,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
,calabazo,calabazo,m.,4,Cuba.,güiro (‖ instrumento musical).,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos,,,
240,calacuerda,calacuerda,f.,1,Mil.,Toque militar antiguo con que se ordenaba aplicar la mecha a los mosquetes y arcabuces para atacar.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
241,cálamo,cálamo,m.,1,,Especie de flauta antigua.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
242,caldera,caldera,f.,7,,Caja del timbal hecha con latón o cobre.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,membranófonos,,,
245,calderón,calderón,m.,7,Mús.,Frase o floreo que el cantor o el tañedor ejecuta ad libitum durante la momentánea suspensión del compás.,Sustantivo,Música,Producto,Conceptos,Continentes,segmentos,,,
244,calderón,calderón,m.,6,Mús.,Suspensión del movimiento del compás representada por un calderón.,Sustantivo,Música,Producto,Técnica y Expresión,Dimensión temporal,ornamentos rítmicos,,,
243,calderón,calderón,m.,5,Mús.,Signo (∩̣) que representa la suspensión del movimiento del compás.,Sustantivo,Música,Producto,Símbolos,Dimensión temporal,tiempo,,,
,calentador,calentador,m.,4,,"En la danza y algunos deportes, media sin pie usada para evitarel enfriamiento de los músculos. U. m. en pl.",Sustantivo,Baile/Danza,Actividad,Objetos,[instrumentos] y medios materiales,recursos materiales,,,
246,calesera,calesera,f.,2,,"Cante popular andaluz, variante de la seguidilla, que solían entonar los caleseros.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
247,calipso,calipso,m.,1,,Canción y danza propias de las Antillas Menores.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
248,callar,callar,intr.,8,,Dicho de un instrumento musical: Cesar de sonar. U. t. c. prnl.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical,,"2001, Argentina [Serna, Enrique: «El matadito», El orgasmógrafo]",
249,caluyo,caluyo,m.,2,Bol.,Música con que se acompaña el caluyo.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades banalizadas,,,
,caluyo,caluyo,m.,1,Arg. y Bol.,Baile tradicional de la región andina.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,cámara,de cámara,loc. adj.,1,,"Dicho de una orquesta, de una agrupación musical, de un conjunto coral, etc.: Formado por un número reducido de músicos, como un trío, un quinteto, etc.",Adjetivo,Música,Modificadores,Conceptos,∅,cualidades [agentes] colectivos,,,
,cámara,de cámara,loc. adj.,3,,"Dicho de una sala, de una sesión, de un ciclo musical, etc.: Destinado a ofrecer música de cámara.",Adjetivo,Música,Modificadores,Conceptos,∅,cualidades espacios,,,
,cámara,de cámara,loc. adj.,2,,Dicho de la música o de una composición musical: Escrita para una orquesta de cámara.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades timbre,,,
,cambaleo,cambaleo,m.,1,,Compañía ambulante de teatro que estaba compuesta habitualmente por cinco actores y una actriz que cantaba.,Sustantivo,Música,Actividad,Participantes,[agentes] productores,colectivos,,,
250,"camerístico, ca","camerístico, ca",adj.,1,,Perteneciente o relativo a la música de cámara.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades polivalentes,,,
,campana,campana,f.,1,,"Instrumento metálico, generalmente en forma de copa invertida, que suena al ser golpeado por un badajo o por un martillo exterior.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos,,,
,campanada,campanada,f.,1,,Golpe que da el badajo de la campana.,Sustantivo,Música,Actividad,Conceptos,[resultados],resultados,,,
,campanada,campanada,f.,2,,Sonido producido por una campanada.,Sustantivo,Música,Actividad,Conceptos,[resultados],resultados,,,
,campanario,campanario,m.,1,,"Torre elevada, exenta, adosada o integrada en un edificio, donde se colocan las campanas.",Sustantivo,Música,Actividad,Objetos,[localizaciones],espacios,,,
,campanazo,campanazo,m.,1,R. Dom. y Ven. ,campanada (‖ sonido producido por una campanada).,Sustantivo,Música,Actividad,Conceptos,[resultados],resultados,,,
,campanear,campanear,intr.,1,,Tocar insistentemente las campanas.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
,campanela,campanela,f.,1,,"Paso de danza que consiste en dar un salto, describiendo al par un círculo con uno de los pies cerca de la punta del otro.",Sustantivo,Baile/Danza,Actividad,Conceptos,movimientos y posiciones,¿sugerencias de Diana?,,,
251,campanela,campanela,f.,2,,"Sonido de la cuerda de guitarra que se toca en vacío, en medio de un acorde hecho a bastante distancia del puente del instrumento.",Sustantivo,Música,Producto,Técnica y Expresión,Otras dimensiones,timbre,,,
,campaneo,campaneo,m.,1,,Reiterado toque de campanas.,Sustantivo,Música,Producto/actividad,Conceptos,Continentes/[resultados],unidades/resultados,,,
,"campanero, ra","campanero, ra",m. y f.,2,,Persona que tiene por oficio vaciar y fundir campanas.,Sustantivo,Música,Actividad,Participantes,[agentes] no productores,constructores,,,
,"campanero, ra","campanero, ra",m. y f.,1,,Persona que tiene por oficio tocar las campanas.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
,"campanero, ra","campanero, ra",adj.,5,,Perteneciente o relativo a las campanas o a los campaneros.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades polivalentes,,,
,campanil,campanil,m.,1,,campanario (‖ torre donde se colocan las campanas).,Sustantivo,Música,Actividad,Objetos,[localizaciones],espacios,,,
,campanilla,campanilla,f.,1,,Campana pequeña provista de mango que se hace sonar agitándola con la mano.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos,,,
,campanillazo,campanillazo,m.,1,,Toque fuerte de la campanilla.,Sustantivo,Música,Producto/actividad,Conceptos,Continentes/[resultados],unidades/resultados,,,
,campanillear,campanillear,intr.,1,,Tocar reiteradamente la campanilla.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
,campanilleo,campanilleo,m.,1,,Sonido frecuente o continuado de la campanilla.,Sustantivo,Música,Producto/actividad,Conceptos,Continentes/[resultados],unidades/resultados,,,
,"campanillero, ra","campanillero, ra",m. y f.,1,,Persona que por oficio toca la campanilla.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
252,"campanillero, ra","campanillero, ra",m. y f.,2,And.,"Componente de un grupo que en algunos pueblos entona canciones de carácter religioso con acompañamiento de guitarras, campanillas y otros instrumentos.",Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
,campano,campano,adj.,4,,esquila (‖ campana pequeña de los conventos y otras casas).,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades idiófonos,,,
,"campano, na","campano, na",m.,4,,esquila (‖ campana pequeña de los conventos y otras casas).,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos,,,
253,campanología,campanología,f.,1,,Arte del campanólogo.,Sustantivo,Música,Materia escolar,Conceptos,∅,disciplinas,,DRAE 1925,
254,"campanólogo, ga","campanólogo, ga",m. y f.,1,,Persona que toca piezas musicales haciendo sonar campanas o vasos de cristal de diferentes tamaños.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,"2006, México [Garza Iturbide, Roberto: «Thurston, Winant y Surgal, energía convertida en expresionismo sonoro», La Jornada]",
,campestre,campestre,m.,4,,Baile antiguo de México.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
255,"canario1, ria","canario1, ria",m.,9,,Música del canario (‖ baile).,Sustantivo,Música,Producto,Conceptos,Continentes,unidades banalizadas,,,
,"canario1, ria","canario1, ria",m.,8,,"Baile antiguo procedente de las islas Canarias, que se ejecutaba en compás ternario y con gracioso zapateo.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,cancán1,cancán1,m.,1,,"Danza frívola y muy movida, que se importó de Francia en lasegunda mitad del siglo XIX, y que hoy se ejecuta solo por mujerescomo parte de un espectáculo.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
256,canción,canción,f.,1,,"Composición en verso, que se canta, o hecha a propósito para que se pueda poner en música.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
257,canción,canción,f.,2,,Música con que se canta una canción.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades banalizadas,,,
,canción de cuna,canción de cuna,f.,1,,"Cantar con que se procura hacer dormir a los niños, generalmente al mecerlos en la cuna.",Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
,canción de gesta,canción de gesta,f.,1,T. lit.,Cantar de gesta,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
,canción de trilla,canción de trilla,f.,1,,Cantar suave y monótono peculiar de los trilladores en su faena.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
,cancionero,cancionero,m.,1,,"Colección de canciones y poesías, por lo común de diversos autores.",Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
,cancioneta,cancioneta,f.,1,dim.,de canción,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
